"cell_id","original_table","row","physical_column","grid_column","span","vertical_merge","row_label","original_value","typeset_value","normalized_original_numbering","numeric_data_cell","metric","before_bold","after_bold","venue_year_added","pdf_numeric_check","tex_file","typeset_tex","verification_status","column_maximum","rank_check","emphasis_authorized_change","pdf_bold_check","pdf_font"
"T01R03C09","1","3","9","9","1","","","Tes","Tes","Tes","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","${\mathrm{Te}}_{s}$","PASS_CONTENT","","","","",""
"T01R03C10","1","3","10","10","1","","","Teu","Teu","Teu","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","${\mathrm{Te}}_{u}$","PASS_CONTENT","","","","",""
"T01R04C01","1","4","1","1","1","","VGGSound-GZSLcls","VGGSound-GZSLcls","VGGSound-GZSLcls","VGGSound-GZSLcls","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","VGGSound-GZSL\textsuperscript{\textit{cls}}","PASS_CONTENT","","","","",""
"T01R04C02","1","4","2","2","1","","VGGSound-GZSLcls","276","276","276","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","276","PASS_CONTENT","","","","",""
"T01R04C03","1","4","3","3","1","","VGGSound-GZSLcls","138","138","138","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","138","PASS_CONTENT","","","","",""
"T01R04C04","1","4","4","4","1","","VGGSound-GZSLcls","138","138","138","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","138","PASS_CONTENT","","","","",""
"T01R04C05","1","4","5","5","1","","VGGSound-GZSLcls","138","138","138","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","138","PASS_CONTENT","","","","",""
"T01R04C06","1","4","6","6","1","","VGGSound-GZSLcls","138","138","138","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","138","PASS_CONTENT","","","","",""
"T01R04C07","1","4","7","7","1","","VGGSound-GZSLcls","69","69","69","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","69","PASS_CONTENT","","","","",""
"T01R04C08","1","4","8","8","1","","VGGSound-GZSLcls","207","207","207","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","207","PASS_CONTENT","","","","",""
"T01R04C09","1","4","9","9","1","","VGGSound-GZSLcls","207","207","207","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","207","PASS_CONTENT","","","","",""
"T01R04C10","1","4","10","10","1","","VGGSound-GZSLcls","69","69","69","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","69","PASS_CONTENT","","","","",""
"T01R05C01","1","5","1","1","1","","UCF-GZSLcls","UCF-GZSLcls","UCF-GZSLcls","UCF-GZSLcls","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","UCF-GZSL\textsuperscript{\textit{cls}}","PASS_CONTENT","","","","",""
"T01R05C02","1","5","2","2","1","","UCF-GZSLcls","51","51","51","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","51","PASS_CONTENT","","","","",""
"T01R05C03","1","5","3","3","1","","UCF-GZSLcls","30","30","30","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","30","PASS_CONTENT","","","","",""
"T01R05C04","1","5","4","4","1","","UCF-GZSLcls","21","21","21","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","21","PASS_CONTENT","","","","",""
"T01R05C05","1","5","5","5","1","","UCF-GZSLcls","30","30","30","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","30","PASS_CONTENT","","","","",""
"T01R05C06","1","5","6","6","1","","UCF-GZSLcls","30","30","30","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","30","PASS_CONTENT","","","","",""
"T01R05C07","1","5","7","7","1","","UCF-GZSLcls","12","12","12","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","12","PASS_CONTENT","","","","",""
"T01R05C08","1","5","8","8","1","","UCF-GZSLcls","42","42","42","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","42","PASS_CONTENT","","","","",""
"T01R05C09","1","5","9","9","1","","UCF-GZSLcls","42","42","42","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","42","PASS_CONTENT","","","","",""
"T01R05C10","1","5","10","10","1","","UCF-GZSLcls","9","9","9","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","9","PASS_CONTENT","","","","",""
"T01R06C01","1","6","1","1","1","","ActivityNet-GZSLcls","ActivityNet-GZSLcls","ActivityNet-GZSLcls","ActivityNet-GZSLcls","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","ActivityNet-GZSL\textsuperscript{\textit{cls}}","PASS_CONTENT","","","","",""
"T01R06C02","1","6","2","2","1","","ActivityNet-GZSLcls","200","200","200","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","200","PASS_CONTENT","","","","",""
"T01R06C03","1","6","3","3","1","","ActivityNet-GZSLcls","99","99","99","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","99","PASS_CONTENT","","","","",""
"T01R06C04","1","6","4","4","1","","ActivityNet-GZSLcls","101","101","101","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","101","PASS_CONTENT","","","","",""
"T01R06C05","1","6","5","5","1","","ActivityNet-GZSLcls","99","99","99","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","99","PASS_CONTENT","","","","",""
"T01R06C06","1","6","6","6","1","","ActivityNet-GZSLcls","99","99","99","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","99","PASS_CONTENT","","","","",""
"T01R06C07","1","6","7","7","1","","ActivityNet-GZSLcls","51","51","51","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","51","PASS_CONTENT","","","","",""
"T01R06C08","1","6","8","8","1","","ActivityNet-GZSLcls","150","150","150","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","150","PASS_CONTENT","","","","",""
"T01R06C09","1","6","9","9","1","","ActivityNet-GZSLcls","150","150","150","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","150","PASS_CONTENT","","","","",""
"T01R06C10","1","6","10","10","1","","ActivityNet-GZSLcls","50","50","50","True","False","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-01-class-splits.tex","50","PASS_CONTENT","","","","",""
"T02R01C01","2","1","1","1","1","restart","Method","Method","Method","Method","False","False","True","True","","not_numeric","source/tables/table-02-main-results.tex","\multirow{2}{*}{\textbf{Method}}","PASS_CONTENT","","","","",""
"T02R01C02","2","1","2","2","4","","Method","VGGSound-GZSLcls","VGGSound-GZSLcls","VGGSound-GZSLcls","False","False","True","True","","not_numeric","source/tables/table-02-main-results.tex","\multicolumn{4}{c}{\textbf{VGGSound-GZSL}\textsuperscript{\textbf{\textit{cls}}}}","PASS_CONTENT","","","","",""
"T02R01C03","2","1","3","6","4","","Method","UCF-GZSLcls","UCF-GZSLcls","UCF-GZSLcls","False","False","True","True","","not_numeric","source/tables/table-02-main-results.tex","\multicolumn{4}{c}{\textbf{UCF-GZSL}\textsuperscript{\textbf{\textit{cls}}}}","PASS_CONTENT","","","","",""
"T02R01C04","2","1","4","10","4","","Method","ActivityNet-GZSLcls","ActivityNet-GZSLcls","ActivityNet-GZSLcls","False","False","True","True","","not_numeric","source/tables/table-02-main-results.tex","\multicolumn{4}{c}{\textbf{ActivityNet-GZSL}\textsuperscript{\textbf{\textit{cls}}}}","PASS_CONTENT","","","","",""
"T02R02C01","2","2","1","1","1","continue","","","","","False","False","False","False","","not_numeric","source/tables/table-02-main-results.tex","","PASS_CONTENT","","","","",""
"T02R02C02","2","2","2","2","1","","","S","S","S","False","False","True","True","","not_numeric","source/tables/table-02-main-results.tex","\textbf{\textit{S}}","PASS_CONTENT","","","","",""
"T02R02C03","2","2","3","3","1","","","U","U","U","False","False","True","True","","not_numeric","source/tables/table-02-main-results.tex","\textbf{\textit{U}}","PASS_CONTENT","","","","",""
"T02R02C04","2","2","4","4","1","","","HM","HM","HM","False","False","True","True","","not_numeric","source/tables/table-02-main-results.tex","\textbf{HM}","PASS_CONTENT","","","","",""
"T02R02C05","2","2","5","5","1","","","ZSL","ZSL","ZSL","False","False","True","True","","not_numeric","source/tables/table-02-main-results.tex","\textbf{ZSL}","PASS_CONTENT","","","","",""
"T02R02C06","2","2","6","6","1","","","S","S","S","False","False","True","True","","not_numeric","source/tables/table-02-main-results.tex","\textbf{\textit{S}}","PASS_CONTENT","","","","",""
"T02R02C07","2","2","7","7","1","","","U","U","U","False","False","True","True","","not_numeric","source/tables/table-02-main-results.tex","\textbf{\textit{U}}","PASS_CONTENT","","","","",""
"T02R02C08","2","2","8","8","1","","","HM","HM","HM","False","False","True","True","","not_numeric","source/tables/table-02-main-results.tex","\textbf{HM}","PASS_CONTENT","","","","",""
"T02R02C09","2","2","9","9","1","","","ZSL","ZSL","ZSL","False","False","True","True","","not_numeric","source/tables/table-02-main-results.tex","\textbf{ZSL}","PASS_CONTENT","","","","",""
"T02R02C10","2","2","10","10","1","","","S","S","S","False","False","True","True","","not_numeric","source/tables/table-02-main-results.tex","\textbf{\textit{S}}","PASS_CONTENT","","","","",""
"T02R02C11","2","2","11","11","1","","","U","U","U","False","False","True","True","","not_numeric","source/tables/table-02-main-results.tex","\textbf{\textit{U}}","PASS_CONTENT","","","","",""
"T02R02C12","2","2","12","12","1","","","HM","HM","HM","False","False","True","True","","not_numeric","source/tables/table-02-main-results.tex","\textbf{HM}","PASS_CONTENT","","","","",""
"T02R02C13","2","2","13","13","1","","","ZSL","ZSL","ZSL","False","False","True","True","","not_numeric","source/tables/table-02-main-results.tex","\textbf{ZSL}","PASS_CONTENT","","","","",""
"T02R03C01","2","3","1","1","1","","DeViSE [21]","DeViSE [21]","DeViSE [21] NeurIPS'13","DeViSE [21]","False","False","False","False","NeurIPS'13","not_numeric","source/tables/table-02-main-results.tex","DeViSE \cite{frome2013devise} \SGTGvenue{NeurIPS'13}","PASS_CONTENT","","","","",""
"T02R03C02","2","3","2","2","1","","DeViSE [21]","36.22","36.22","36.22","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{36.22}","PASS_CONTENT","48.33","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R03C03","2","3","3","3","1","","DeViSE [21]","1.07","1.07","1.07","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{1.07}","PASS_CONTENT","16.87","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R03C04","2","3","4","4","1","","DeViSE [21]","2.08","2.08","2.08","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{2.08}","PASS_CONTENT","22.78","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R03C05","2","3","5","5","1","","DeViSE [21]","5.59","5.59","5.59","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{5.59}","PASS_CONTENT","17.65","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R03C06","2","3","6","6","1","","DeViSE [21]","55.59","55.59","55.59","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{55.59}","PASS_CONTENT","86.32","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R03C07","2","3","7","7","1","","DeViSE [21]","14.94","14.94","14.94","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{14.94}","PASS_CONTENT","46.97","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R03C08","2","3","8","8","1","","DeViSE [21]","23.56","23.56","23.56","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{23.56}","PASS_CONTENT","60.63","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R03C09","2","3","9","9","1","","DeViSE [21]","16.09","16.09","16.09","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{16.09}","PASS_CONTENT","55.22","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R03C10","2","3","10","10","1","","DeViSE [21]","3.45","3.45","3.45","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{3.45}","PASS_CONTENT","47.28","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R03C11","2","3","11","11","1","","DeViSE [21]","8.53","8.53","8.53","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{8.53}","PASS_CONTENT","23.61","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R03C12","2","3","12","12","1","","DeViSE [21]","4.91","4.91","4.91","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{4.91}","PASS_CONTENT","31.49","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R03C13","2","3","13","13","1","","DeViSE [21]","8.53","8.53","8.53","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{8.53}","PASS_CONTENT","23.96","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R04C01","2","4","1","1","1","","ALE [22]","ALE [22]","ALE [22] TPAMI'16","ALE [22]","False","False","False","False","TPAMI'16","not_numeric","source/tables/table-02-main-results.tex","ALE \cite{akata2016ale} \SGTGvenue{TPAMI'16}","PASS_CONTENT","","","","",""
"T02R04C02","2","4","2","2","1","","ALE [22]","0.28","0.28","0.28","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{0.28}","PASS_CONTENT","48.33","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R04C03","2","4","3","3","1","","ALE [22]","5.48","5.48","5.48","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{5.48}","PASS_CONTENT","16.87","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R04C04","2","4","4","4","1","","ALE [22]","0.53","0.53","0.53","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{0.53}","PASS_CONTENT","22.78","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R04C05","2","4","5","5","1","","ALE [22]","5.48","5.48","5.48","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{5.48}","PASS_CONTENT","17.65","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R04C06","2","4","6","6","1","","ALE [22]","57.59","57.59","57.59","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{57.59}","PASS_CONTENT","86.32","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R04C07","2","4","7","7","1","","ALE [22]","14.89","14.89","14.89","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{14.89}","PASS_CONTENT","46.97","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R04C08","2","4","8","8","1","","ALE [22]","23.66","23.66","23.66","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{23.66}","PASS_CONTENT","60.63","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R04C09","2","4","9","9","1","","ALE [22]","16.32","16.32","16.32","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{16.32}","PASS_CONTENT","55.22","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R04C10","2","4","10","10","1","","ALE [22]","2.63","2.63","2.63","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{2.63}","PASS_CONTENT","47.28","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R04C11","2","4","11","11","1","","ALE [22]","7.87","7.87","7.87","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{7.87}","PASS_CONTENT","23.61","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R04C12","2","4","12","12","1","","ALE [22]","3.94","3.94","3.94","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{3.94}","PASS_CONTENT","31.49","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R04C13","2","4","13","13","1","","ALE [22]","7.90","7.90","7.90","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{7.90}","PASS_CONTENT","23.96","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R05C01","2","5","1","1","1","","SJE [23]","SJE [23]","SJE [23] CVPR'15","SJE [23]","False","False","False","False","CVPR'15","not_numeric","source/tables/table-02-main-results.tex","SJE \cite{akata2015sje} \SGTGvenue{CVPR'15}","PASS_CONTENT","","","","",""
"T02R05C02","2","5","2","2","1","","SJE [23]","48.33","48.33","48.33","True","True","True","True","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\textbf{\SGTGnum{48.33}}","PASS_CONTENT","48.33","PASS","False","PASS_RENDERED_FONT","/OYZRQS+LMSans10-Bold"
"T02R05C03","2","5","3","3","1","","SJE [23]","1.10","1.10","1.10","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{1.10}","PASS_CONTENT","16.87","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R05C04","2","5","4","4","1","","SJE [23]","2.15","2.15","2.15","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{2.15}","PASS_CONTENT","22.78","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R05C05","2","5","5","5","1","","SJE [23]","4.06","4.06","4.06","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{4.06}","PASS_CONTENT","17.65","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R05C06","2","5","6","6","1","","SJE [23]","63.10","63.10","63.10","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{63.10}","PASS_CONTENT","86.32","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R05C07","2","5","7","7","1","","SJE [23]","16.77","16.77","16.77","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{16.77}","PASS_CONTENT","46.97","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R05C08","2","5","8","8","1","","SJE [23]","26.50","26.50","26.50","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{26.50}","PASS_CONTENT","60.63","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R05C09","2","5","9","9","1","","SJE [23]","18.93","18.93","18.93","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{18.93}","PASS_CONTENT","55.22","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R05C10","2","5","10","10","1","","SJE [23]","4.61","4.61","4.61","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{4.61}","PASS_CONTENT","47.28","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R05C11","2","5","11","11","1","","SJE [23]","7.04","7.04","7.04","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{7.04}","PASS_CONTENT","23.61","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R05C12","2","5","12","12","1","","SJE [23]","5.57","5.57","5.57","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{5.57}","PASS_CONTENT","31.49","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R05C13","2","5","13","13","1","","SJE [23]","7.08","7.08","7.08","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{7.08}","PASS_CONTENT","23.96","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R06C01","2","6","1","1","1","","f-VAEGAN-D2 [25]","f-VAEGAN-D2 [25]","f-VAEGAN-D2 [25] CVPR'19","f-VAEGAN-D2 [25]","False","False","False","False","CVPR'19","not_numeric","source/tables/table-02-main-results.tex","f-VAEGAN-D2 \cite{xian2019fvaegan} \SGTGvenue{CVPR'19}","PASS_CONTENT","","","","",""
"T02R06C02","2","6","2","2","1","","f-VAEGAN-D2 [25]","12.77","12.77","12.77","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{12.77}","PASS_CONTENT","48.33","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R06C03","2","6","3","3","1","","f-VAEGAN-D2 [25]","0.95","0.95","0.95","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{0.95}","PASS_CONTENT","16.87","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R06C04","2","6","4","4","1","","f-VAEGAN-D2 [25]","1.77","1.77","1.77","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{1.77}","PASS_CONTENT","22.78","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
"T02R06C05","2","6","5","5","1","","f-VAEGAN-D2 [25]","1.91","1.91","1.91","True","True","False","False","","PASS_EXACT_RENDERED_STRING","source/tables/table-02-main-results.tex","\SGTGnum{1.91}","PASS_CONTENT","17.65","PASS","False","PASS_RENDERED_FONT","/OGRRSS+LMSans9-Regular"
